,B03_Green_,B02_Blue_4,B12_SWIR_2,B11_SWIR_1,B8A_VRE_86,B07_VRE_78,B06_VRE_74,B05_VRE_75,B04_Red_66,outlier
92,2600.0,2224.0,4098.0,5123.0,4512.0,4377.0,4022.0,3504.0,3094.0,False
93,3241.0,2712.0,5139.0,6315.0,4974.0,4936.0,4628.0,4306.0,3870.0,False
94,3373.0,2822.0,5242.0,6463.0,5147.0,5067.0,4729.0,4410.0,4012.0,False
95,2581.0,2265.0,4126.0,5069.0,4386.0,4437.0,4021.0,3379.0,2928.0,False
96,3064.0,2614.0,4611.0,5553.0,5284.0,5193.0,4767.0,4036.0,3512.0,True
97,3298.0,2707.0,5151.0,6217.0,5436.0,5120.0,4842.0,4349.0,3910.0,False
98,3085.0,2652.0,4694.0,5600.0,5315.0,5173.0,4772.0,4065.0,3571.0,True
99,3052.0,2602.0,4603.0,5601.0,5209.0,5016.0,4712.0,3983.0,3509.0,True
100,3590.0,3023.0,5671.0,6344.0,5263.0,5111.0,4821.0,4530.0,4098.0,True
101,3550.0,3019.0,5638.0,6343.0,5198.0,5068.0,4802.0,4490.0,4071.0,True
102,3493.0,2986.0,5494.0,6164.0,4981.0,4908.0,4620.0,4398.0,3970.0,True
103,3119.0,2650.0,4995.0,5983.0,4927.0,4862.0,4517.0,4074.0,3551.0,False
104,3331.0,2895.0,5283.0,5943.0,4818.0,4657.0,4417.0,4164.0,3744.0,True
105,2791.0,2426.0,4908.0,5955.0,4558.0,4335.0,4066.0,3561.0,3162.0,False
106,3485.0,2958.0,5381.0,6019.0,5014.0,4877.0,4601.0,4338.0,3907.0,True
107,2950.0,2551.0,5065.0,6057.0,4730.0,4586.0,4347.0,3897.0,3349.0,False
108,3488.0,2957.0,5502.0,6124.0,5064.0,4953.0,4725.0,4406.0,3926.0,True
109,3463.0,2935.0,5461.0,6065.0,5062.0,4945.0,4641.0,4342.0,3890.0,True
110,3406.0,2933.0,5409.0,5986.0,5022.0,4903.0,4642.0,4283.0,3845.0,True
111,3377.0,2906.0,5409.0,6021.0,5000.0,4866.0,4611.0,4301.0,3805.0,True
112,3339.0,2869.0,5402.0,5975.0,5007.0,4837.0,4630.0,4287.0,3801.0,True
113,3330.0,2856.0,5287.0,5873.0,5011.0,4852.0,4616.0,4258.0,3754.0,True
114,3317.0,2865.0,5125.0,5735.0,5008.0,4863.0,4535.0,4140.0,3701.0,True
